country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population,CODE
Fiji,Australia/Oceania,64773,862,62875,1036,NA,71293,949,517703,569817,908543,FJI
Finland,Europe,1069740,4284,NA,NA,21,192512,771,10832080,1949355,5556750,FIN
France,Europe,29160802,147257,28156674,856871,1329,444914,2247,271490188,4142201,65542502,FRA
French Guiana,South America,81784,397,11254,70133,1,261212,1268,631628,2017375,313094,GUF
French Polynesia,Australia/Oceania,72821,649,NA,NA,7,256473,2286,NA,NA,283932,PYF
Gabon,Africa,47608,304,47297,7,NA,20490,131,1594523,686256,2323511,GAB
Gambia,Africa,11999,365,11591,43,NA,4718,144,155686,61220,2543054,GMB
Georgia,Asia,1655221,16811,1637293,1117,NA,416417,4229,16920079,4256722,3974908,GEO
Germany,Europe,25780226,137919,23956700,1685607,1279,305877,1636,122332384,1451450,84282880,DEU
Ghana,Africa,161280,1445,159788,47,1,4996,45,2442206,75655,32280617,GHA
Gibraltar,Europe,18129,102,16579,1448,NA,538400,3029,534283,15867278,33672,GIB
Greece,Europe,3392575,29547,3306014,57014,176,328475,2861,81233888,7865209,10328255,GRC
Greenland,North America,11971,21,2761,9189,4,210191,369,164926,2895826,56953,GRL
Grenada,North America,16344,221,14634,1489,4,144008,1947,157363,1386531,113494,GRD
Guadeloupe,North America,140130,854,2250,137026,19,350105,2134,938039,2343627,400251,GLP
Guatemala,North America,851877,17792,831794,2291,5,45966,960,4543522,245163,18532670,GTM
Guinea,Africa,36597,442,36113,42,8,2653,32,660107,47848,13795931,GIN
Guinea Bissau,Africa,8222,171,8010,41,6,4002,83,136655,66512,2054599,GNB
Guyana,South America,63804,1228,62301,275,NA,80396,1547,610906,769770,793621,GUY
Haiti,North America,30713,835,29605,273,NA,2634,72,132422,11356,11661401,HTI
Holy See,Europe,29,NA,29,0,NA,36025,NA,NA,NA,805,VAT
Honduras,North America,424390,10896,132358,281136,105,41615,1068,1365056,133856,10197959,HND
Hungary,Europe,1909948,46343,1821435,42170,29,198649,4820,11394556,1185122,9614673,HUN
Iceland,Europe,186545,120,NA,NA,NA,540134,347,2264004,6555338,345368,ISL
India,Asia,43121599,524214,42579693,17692,698,30686,373,843836914,600479,1405273033,IND
Indonesia,Asia,6050776,156458,5889534,4784,2771,21694,561,97245391,348662,278910317,IDN
Iran,Asia,7228051,141224,7020835,65992,737,84052,1642,51771715,602031,85995095,IRN
Iraq,Asia,2326458,25216,2299985,1257,10,55520,602,18529376,442197,41902979,IRQ
Ireland,Europe,1535451,7203,1499879,28369,28,304622,1429,12144747,2409429,5040509,IRL
Isle Of Man,Europe,28416,105,26794,1517,NA,330915,1223,150753,1755575,85871,IMN
Israel,Asia,4106793,10749,4081150,14894,150,440360,1153,41373364,4436346,9326000,ISR
Italy,Europe,17057873,165244,15894511,998118,347,282901,2741,217853667,3613054,60296265,ITA
Jamaica,North America,131980,2995,84883,44102,NA,44211,1003,1031235,345445,2985238,JAM
Japan,Asia,8338211,30039,7951587,356585,139,66305,239,50444181,401129,125755488,JPN
Jordan,Asia,1694216,14048,1678941,1227,124,163034,1352,16670254,1604177,10391780,JOR
Kazakhstan,Asia,1305636,13661,1291669,306,24,68020,712,11575012,603023,19194987,KAZ
Kenya,Africa,324026,5649,318142,235,NA,5789,101,3630986,64866,55976553,KEN
Kiribati,Australia/Oceania,3093,13,2602,478,3,25175,106,NA,NA,122862,KIR
Kuwait,Asia,632074,2555,629114,405,3,144040,582,8071763,1839430,4388186,KWT
Kyrgyzstan,Asia,200993,2991,196406,1596,131,29889,445,1907195,283613,6724638,KGZ
Laos,Asia,209386,754,NA,NA,NA,28022,101,1232128,164896,7472169,LAO
Latvia,Europe,825699,5798,816253,3648,6,446957,3139,7217715,3907005,1847378,LVA
Lebanon,Asia,1097956,10407,1084853,2696,186,162215,1538,4795578,708511,6768532,LBN
Lesotho,Africa,32910,697,24155,8058,NA,15139,321,431221,198365,2173878,LSO
Liberia,Africa,7451,294,5747,1410,2,1411,56,139824,26487,5278999,LBR
Libya,Africa,501904,6430,490973,4501,101,71240,913,2477219,351613,7045301,LBY
Liechtenstein,Europe,17347,84,17192,71,1,452546,2191,102174,2665501,38332,LIE
Lithuania,Europe,1060619,9127,1032609,18883,11,399994,3442,9954903,3754317,2651588,LTU
Luxembourg,Europe,244182,1073,235939,7170,NA,378610,1664,4248188,6586920,644943,LUX
Macedonia,Europe,310684,9289,300761,634,NA,149137,4459,2034606,976666,2083215,MKD
Madagascar,Africa,64236,1393,59370,3473,14,2214,48,430995,14854,29016291,MDG
Malawi,Africa,85887,2636,82703,548,67,4284,131,578807,28868,20050211,MWI
Malaysia,Asia,4475873,35612,4409159,31102,47,135067,1075,59274648,1788706,33138284,MYS
Maldives,Asia,179483,298,163687,15498,25,321497,534,2213831,3965506,558272,MDV
Mali,Africa,31003,733,30088,182,NA,1453,34,675008,31636,21336613,MLI
Malta,Europe,93508,713,90076,2719,4,210730,1607,1904970,4293055,443733,MLT
Marshall Islands,Australia/Oceania,17,NA,14,3,NA,284,NA,NA,NA,59934,MHL
Martinique,North America,153253,926,104,152223,8,408977,2471,828928,2212109,374723,MTQ
Mauritania,Africa,58840,982,57708,150,NA,12064,201,816126,167336,4877181,MRT
Mauritius,Africa,37843,996,36183,664,NA,29665,781,358675,281160,1275698,MUS
Mayotte,Africa,37363,187,2964,34212,NA,131066,656,176919,620616,285070,MYT
Mexico,North America,5745652,324465,5044893,376294,4798,43708,2468,15855490,120615,131455607,MEX
Micronesia,Australia/Oceania,7,NA,1,6,NA,60,NA,NA,NA,117269,NA
Moldova,Europe,516986,11489,504142,1355,49,128715,2860,3216305,800772,4016504,MDA
Monaco,Europe,12004,54,11866,84,4,301911,1358,54960,1382294,39760,MCO
Mongolia,Asia,469885,2179,313256,154450,192,139159,645,4030048,1193522,3376601,MNG
Montenegro,Europe,236277,2719,232955,603,6,376109,4328,2465201,3924142,628214,MNE
Montserrat,North America,747,2,390,355,NA,149460,400,11238,2248499,4998,MSR
Morocco,Africa,1165795,16071,1149054,670,293,30902,426,11237010,297864,37725337,MAR
Mozambique,Africa,225493,2201,223190,102,13,6857,67,1319772,40132,32885526,MOZ
Myanmar,Asia,613140,19434,592089,1617,NA,11130,353,8083326,146732,55089133,MMR
Namibia,Africa,160074,4028,153662,2384,NA,60944,1534,1018783,387873,2626590,NAM
Nauru,Australia/Oceania,8,NA,5,3,NA,731,NA,NA,NA,10951,NRU
Nepal,Asia,978998,11952,966904,142,NA,32511,397,5669140,188264,30112649,NPL
Netherlands,Europe,8067116,22292,7989151,55673,55,468869,1296,21107399,1226784,17205480,NLD
New Caledonia,Australia/Oceania,61049,312,60339,398,9,210072,1074,98964,340539,290610,NCL
New Zealand,Australia/Oceania,1043683,923,989005,53755,NA,208649,185,7127584,1424918,5002100,NZL
Nicaragua,North America,18491,225,4225,14041,NA,2731,33,NA,NA,6771338,NIC
Niger,Africa,9013,310,8579,124,1,349,12,253043,9794,25837472,NER
Nigeria,Africa,255859,3143,249943,2773,11,1186,15,5114703,23717,215651424,NGA
Niue,Australia/Oceania,9,NA,9,0,NA,5464,NA,NA,NA,1647,NIU
Norway,Europe,1429717,3061,NA,NA,20,259940,557,11002430,2000372,5500191,NOR
Oman,Asia,389408,4260,384592,556,2,72808,796,25000000,4674286,5348410,OMN
Pakistan,Asia,1529249,30376,1494141,4732,109,6681,133,28350449,123867,228878790,PAK
Palau,Australia/Oceania,4879,6,4166,707,1,267269,329,49264,2698658,18255,PLW
Panama,North America,806277,8203,773421,24653,16,181543,1847,6019923,1355456,4441253,PAN
Papua New Guinea,Australia/Oceania,43876,651,43200,25,7,4737,70,249149,26898,9262605,PNG
Paraguay,South America,649718,18872,624673,6173,2,89055,2587,2633737,360998,7295705,PRY
Peru,South America,3571919,213023,NA,NA,248,105593,6297,30226868,893567,33827210,PER
Philippines,Asia,3687922,60455,3624459,3008,289,32841,538,29827732,265614,112297269,PHL
Poland,Europe,6003436,116207,5335112,552117,981,158950,3077,36224215,959088,37769420,POL
Portugal,Europe,4066674,22583,NA,NA,61,400999,2227,41903714,4131968,10141346,PRT
Qatar,Asia,366179,677,364474,1028,1,130415,241,3487616,1242115,2807805,QAT
Reunion,Africa,405980,762,395430,9788,10,447503,840,1603660,1767679,907212,REU
Romania,Europe,2903072,65612,NA,NA,138,152803,3453,22954921,1208233,18998751,ROU
Russia,Europe,18260293,377670,17647179,235444,2300,125027,2586,273400000,1871949,146050996,RUS
Rwanda,Africa,129907,1459,45522,82926,NA,9587,108,5343203,394334,13549956,RWA
Saint Barthelemy,North America,4611,6,NA,NA,NA,464210,604,78646,7917648,9933,BLM
Saint Helena,Africa,2,NA,2,0,NA,327,NA,NA,NA,6111,SHN
Saint Kitts And Nevis,North America,5605,43,5547,15,NA,103989,798,70707,1311818,53900,KNA
Saint Lucia,North America,24267,368,23277,622,1,131038,1987,143281,773697,185190,LCA
Saint Martin,North America,10602,63,1399,9140,7,265754,1579,112382,2817015,39894,MAF
Saint Pierre And Miquelon,North America,2739,1,2449,289,1,477095,174,23687,4125936,5741,SPM
Saint Vincent And The Grenadines,North America,6799,106,6641,52,NA,60925,950,99138,888365,111596,VCT
Samoa,Australia/Oceania,11313,24,1605,9684,4,56320,119,85921,427746,200869,WSM
San Marino,Europe,16852,115,16454,283,4,494716,3376,152231,4468970,34064,SMR
Sao Tome And Principe,Africa,5970,73,5891,6,NA,26330,322,29036,128060,226737,STP
Saudi Arabia,Asia,759226,9116,743921,6189,61,21194,254,42144668,1176452,35823522,SAU
Senegal,Africa,86039,1966,84059,14,NA,4898,112,1081824,61589,17565349,SEN
Serbia,Europe,2012836,16049,1988209,8578,12,232112,1851,9596815,1106664,8671838,SRB
Seychelles,Africa,43235,167,42553,515,NA,434606,1679,NA,NA,99481,SYC
Sierra Leone,Africa,7682,125,NA,NA,NA,928,15,259958,31400,8279028,SLE
Singapore,Asia,1240233,1362,1162140,76731,8,208933,229,23767171,4003881,5936034,SGP
Sint Maarten,North America,10123,86,9985,52,10,231208,1964,62056,1417354,43783,SXM
Slovakia,Europe,1787093,20041,1761664,5388,30,327033,3667,7127129,1304244,5464567,SVK
Slovenia,Europe,1019468,6622,1003559,9287,9,490254,3184,2656926,1277694,2079470,SVN
Solomon Islands,Australia/Oceania,18174,146,16357,1671,2,25303,203,5117,7124,718243,SLB
Somalia,Africa,26518,1350,13182,11986,NA,1586,81,400466,23953,16718643,SOM
South Africa,Africa,3887449,100753,3708347,78349,192,64042,1660,24841314,409239,60701292,ZAF
South Korea,Asia,17782061,23709,NA,NA,338,346282,462,15804065,307763,51351355,KOR
South Sudan,Africa,17525,138,13514,3873,1,1532,12,389677,34068,11438136,SSD
Spain,Europe,12127122,105444,11548089,473589,339,259190,2254,471036328,10067352,46788503,ESP
Sri Lanka,Asia,663671,16511,646921,239,NA,30753,765,6486117,300555,21580463,LKA
State Of Palestine,Asia,582119,5353,576684,82,17,109376,1006,3078533,578432,5322203,PSE
Sudan,Africa,62161,4936,NA,NA,NA,1359,108,562941,12303,45755378,SDN
Suriname,South America,80008,1337,49455,29216,NA,134147,2242,236268,396143,596421,SUR
Swaziland,Africa,71698,1402,69549,747,11,60631,1186,1021394,863732,1182536,SWZ
Sweden,Europe,2504894,18864,2477725,8305,9,245180,1846,18553837,1816057,10216549,SWE
Switzerland,Europe,3631881,13882,3551493,66506,78,414008,1582,20927607,2385592,8772500,CHE
Syria,Asia,55869,3150,52479,240,NA,3054,172,146269,7996,18292142,SYR
Taiwan,Asia,768543,1068,60634,706841,NA,32161,45,16207475,678221,23897056,TWN
Tajikistan,Asia,17388,124,17264,0,NA,1750,12,NA,NA,9936493,TJK
Tanzania,Africa,35354,840,NA,NA,7,562,13,NA,NA,62901456,TZA
Thailand,Asia,4373846,29475,4273599,70772,1496,62371,420,17270775,246281,70126166,THA
Timor Leste,Asia,22889,131,22746,12,NA,16766,96,264799,193963,1365204,TLS
Togo,Africa,37023,273,36727,23,NA,4285,32,735638,85144,8639966,TGO
Tonga,Australia/Oceania,11049,11,10110,928,NA,102376,102,518262,4802012,107926,TON
Trinidad And Tobago,North America,154643,3871,141354,9418,18,109837,2749,726218,515806,1407928,TTO
Tunisia,Africa,1041197,28575,NA,NA,29,86414,2372,4592916,381189,12048936,TUN
Turkey,Asia,15053168,98890,14951238,3040,975,174977,1149,160622710,1867071,86029250,TUR
Turks And Caicos Islands,North America,6046,36,5963,47,4,152323,907,505354,12731886,39692,TCA
Uganda,Africa,164069,3596,100205,60268,2,3388,74,2612795,53950,48429823,UGA
UK,Europe,22159805,176708,21677896,305201,253,323264,2578,519264096,7574950,68550166,GBR
Ukraine,Europe,5006460,108449,NA,NA,177,115771,2508,19521252,451415,43244553,UKR
United Arab Emirates,Asia,902484,2302,886128,14054,NA,89240,228,159103283,15732628,10112950,ARE
Uruguay,South America,902540,7213,892434,2893,18,258152,2063,6114822,1749015,3496151,URY
USA,North America,84209473,1026646,81244260,1938567,1941,251659,3068,1016882505,3038939,334617623,USA
Uzbekistan,Asia,238802,1637,236974,191,23,6947,48,1377915,40088,34372515,UZB
Vanuatu,Australia/Oceania,8457,14,7974,469,NA,26386,44,24976,77926,320508,VUT
Venezuela,South America,522921,5711,516170,1040,230,18487,202,3359014,118752,28285909,VEN
Viet Nam,Asia,10696630,43065,9355040,1298525,340,108080,435,85811485,867048,98969721,VNM
Wallis And Futuna Islands,Australia/Oceania,454,7,438,9,NA,41755,644,20508,1886140,10873,WLF
Western Sahara,Africa,10,1,9,0,NA,16,2,NA,NA,624681,ESH
Yemen,Asia,11819,2149,9009,661,23,381,69,265253,8543,31049015,YEM
Zambia,Africa,320591,3983,315997,611,NA,16575,206,3452554,178497,19342381,ZMB
Zimbabwe,Africa,249206,5482,242417,1307,12,16324,359,2287793,149863,15265849,ZWE
